Id;Sentence;IsNegated
53;It also skirts the rating by showing lots and lots of panties and some bras, but no actual nudity.;F F F F F F F F F F F F F F F F T T T
54;This is a history of a repressed people which almost never leaves the confines of the world of politicians.;F F F F F F F F F F T T T T F F F F F
55;The ending will not be satisfying to everyone, but this isn't the type of picture that is made to appeal to the masses.;F F T T T T F F F F T T T T T F F F F F F F F
56;Snipes is in trouble from the start with a character who makes no sense, but at least you might hope for some creative lunacy from DeNiro.;F F F F F F F F F F F T T T F F F F F F F F F F F F
57;The problems lie not in the performances, but in the bland script.;F F T T T T T F F F F F
58;James willingly submits to this examination without checking for credentials or even asking him who he is, even though the examination was a highly suspicious one.;F F F F F F T T T T T T T F F F F F F F F F F F F F
59;In the end there is pathos, as Emmet is left alone, not understanding what he had until Hattie left his life for good and he was unable to make real contact with another woman.;F F F F F F F F F F F T T T T T F F F F F F F F F T T T T T T F F F
60;Many of the issues it approaches have less to do with gender than with the simple condition of living in the '90s -- something we are all afflicted with.;F F F F F F T T T T T T F F F F F F F F F F F F F F F F F
61;Paul questions Stu's talent and dedication, and John seems jealous ... although of whom is not entirely clear.;F F F F F F F F F F F F F F T T T T
62;Being smart, they no longer want to eat humans and are happy to chew the fat with them instead.;F F T T T T T T F F F F F F F F F F F
63;And, if not for a somewhat forced catharsis during the epilogue (the weakest segment of the movie), BREAKING THE WAVES would have been more wrenching than it is.;F T T T T F F T F F F F F F F F F F F F F F F F F F F F
64;In a further twist, the profession she seeks is not something considered glamorous by society.;F F F F F F F F T T T F T F F
65;By not concentrating on one primary storyline (there's the serial rapist and the doctor with a god complex), it dilutes both.;F T T T T T T F F F F F F F F F F F F F F
66;Shane's voice-over narration dutifully informs us why Studio 54 was so unique and popular, but there's never enough energy for us to believe him or care.;F F F F F F F F F F F F F F F T T T T F F F F F F F
67;Three-dimensionality may not be achieved, but attempts are made to give the men and women in this film some depth, and the freshness of the performances helps a great deal.;F T T T T F F F F F F F F F F F F F F F F F F F F F F F F F
68;My advice to you is to arrive ninety minutes late since nothing, absolutely nothing, of interest happens until the Japanese Zeros arrive to obliterate our fleet.;F F F F F F F F F F F F F T T T T F F F F F F F F F
69;Most of these work on a purely visual level, but their attempts to telegraph emotional states are less successful.;F F F F F F F F F F F F F F F F T T T
70;That should make him a more challenging assignment for Gerard, except Sheridan never seems to be thinking hard enough or working hard enough to clear his name.;F F F F F F F F F F F F T F F F T T F F F F F F F F F
71;Director Damien O'Donnell, working from a script by Ayub Khan-Din, continually pulls his punches, never quite making either a truly funny film or a biting social satire.;F F F F F F F F F F F F F F T F T F F F F F F F F F F
72;She is now not sure if he's guilty, but only goes with him when he threatens to abandon her to the snakes on the isolated desert road.;F F F T T T T T F F F F F F F F F F F F F F F F F F F
73;I recommend the show to kids and to adults with or without the kids, and I award it ***.;F F F F F F F F F F F T T T F F F F F
74;Director James Keach and cinematographer Bruce Surtees have worked meticulously to recapture the essence of an America that, although only sixty years in the past, is no more.;F F F F F F F F F F F F F F F T T F F F F F F F F T T T
75;Mr. Kinsky falls head over heels in love with his maid, which displeases her, albeit not quite enough to cause her to leave.;F F T F F F T T F F F F F F F T F T F F F F F
76;RIDICULE is not meant to be taken as a rigorous historical account, but, as with all French movies, the period detail is impeccable.;F F T T T T T T T T T T F F F F F F F F F F F
77;Princess or pauper, there's no difference in Sara's eyes.;F F F T T T T T T
78;Snipes is a likeable enough performer, but he is not doing himself any favors by adding this film to a string of lumbering action duds like DROP ZONE and MONEY TRAIN.;F F F F F F F F T T T T T T F F F F F F F F F F F F F F F F F
79;Other than I wish the director had not let the show bog down as often as he did, and I wish he had kept the energy a bit higher, I have no other criticisms.;F F F F F F T T T T T T T T T T T T F F F F F F F F F F F T T T T T
80;As the story opens, Yamamoto (Kitano, who goes by the acting name of Beat Takeshi) is about to be a man without a country.;F F F F F F F F F F F F F F F F F F T T T T T T
81;"Copyright 1997 James Berardinelli ""The cinema is not an art which films life: the cinema is something between art and life.";F F F F T T T T T T T T T F F F F F F F F
82;REVIEWED WRITTEN ON: January 21, 1995 Opinions expressed are mine and not meant to reflect my employer's.;F F F F F F F F F F F T T T T T T
83;I guess he is in one of those fourth world countries where they have no phones.;F F F F F F F F F F F T T T T T
84;With an unflagging attention to detail, HAMLET demands to be noticed.;F F F F F F F F F F F
85;Aliens have never looked better than in this movie!;F T T T T F F F F
86;Palminteri proves that his performance in A BRONX TALE was no fluke.;F F F F F F F F F T T T
87;"Copyright 1997 James Berardinelli ""The cinema is not an art which films life: the cinema is something between art and life.";F F F F T T T T T T F F F F F F F F F F F
88;It is not rated but would be an R for some sexuality, profanity, nudity and comic violence and would be fine for most teenagers.;T T T T F F F F F F F F F F F F F F F F F F F F
89;It's not for lack of trying: they have sex at every opportunity, often in very public places (such as an elevator at the construction site where Danny works).;T T T T T T F F F F F F F F F F F F F F F F F F F F F F
90;Hugh Grant (so wonderful in FOUR WEDDINGS AND A FUNERAL and SIRENS among others) gave a nice performance, but not his best.;F F F F F F F F F F F F F F F F F F T T T T
91;They had to, because the original might have been a fun read but was no movie material.;F F F F F F F F F F F F F T T T T
92;And the premise -- a modern-day Sherlock Holmes -- while not tremendously original, has at least as much promise as COLUMBO.;F F F F F F F F F F T T T F F F F F F F F
93;But it was to no avail.;F T T T T T
94;The problem with this film is not the star.;F T F F F T T T T
95;"The ""chairman"" has tried to stop time, thinking he is still 20-years-old, living as if nothing took place the last 50-years since he has been in prison.";F F F F F F F F F F F F T T T T T T F F F F F F F F F
96;(For the record, I'm not against Japanese anime.;F F F T T T T F
97;The easiest way to frame the story in your mind is that it is the ET for this generation albeit the film is not of ET's caliber.;F F F F F F F F F F F F F F F F F F F F T T T T T T T
98;About the network's guilt I know nothing, but about the head of Geritol (played by Martin Scorsese) I read a recent article in the Wall Street Journal.;F F F F T T T F F F F F F F F F F F F F F F F F F F F
99;Although I aimed at a window far away, I did not expect to hit it.;F F F F F F F F T T T T T T T
100;In one extremely significant way: in THE RICH MAN'S WIFE, the ending serves absolutely no dramatic purpose.;F F F F F F F F F F T T T F T T T
101;It shows, amongst other things, that it's possible to love completely and with unflagging devotion without sex ever becoming an issue.;F F F F F F F F F F F F F F F T T T T T T
102;Tyler's acting is convincing during this part, but not later when Pam has supposedly matured some.;F T T T F F F F T T F F F F F F
103;There is probably a story buried there somewhere, but it takes the press notes to decipher it, not that you'd care.;F F F F F F F F F F F F F F F F F T T T T
104;On the other hand, I do not recommend it to anyone, and I award it * 1/2.;F F F F F T T T T T T F F F F F F
105;That's not to say that the movie is of masterpiece status, or even light on flaws.;T T T T F F F F F F F F F F F F
106;And, while Bean wreaks havoc all over Los Angeles, no one is more affected than David Langley (Peter MacNicol), the Grierson Gallery's curator.;F F F F F F F F F T T T T T F F F F F F F F F
107;She sounds like a hick, which most people associate with stupidity, but she is quite cleaver and brave, no matter how sweet and hooky she is.;F F F F F F F F F F F F F F F F F F T T T T T T T T
108;Last, and certainly not least, the script must have some genuine humor.;F F F F F F F F F F F F
109;However, being in a theater watching a couple of wasted characters is not anything like being under the influence of a mind-altering drug (or so I'm told).;F F F F F F F F F F F T T T T T T T T F F F F F F F F
110;Jack wavers between loving Marion as if she were his conscience or not being fully in love with her because he can't love someone who is so straight.;F F F F F F F F F F F F T T T T T T T F T T T T T T T T
111;Without the poetry and perspective of Smiley's language, the story becomes little more than a collection of tragedies -- Shakespeare without the wisdom or the words.;T T T T T F F F F F F F F F F F F F F T T T T T T F
112;Bond is not a big moralist.);F T T T T T
113;The actresses demonstrate little energy and almost no talent.;F F T F F F F T T
114;His life can only be lived in the fast lane where love and relationships have no relevance.;F F F F F F F F F F F T T T T T T
115;I think not.;T T T
116;So, although THE RUN OF THE COUNTRY has its weak spots, it nevertheless gives us a more original coming-of-age story than that which typically graces American screens.;F F F F F F F F F F F F F F F F F F F F F F F F F F F
117;The less time consuming of the two presents the early life of Vito Corleone (played by Robert DeNiro) in Sicily and New York, and shows how he came into power.;T T T T F F F F F F F F F F F F F F F F F F F F F F F F F F
118;When the cattle drive is over he has no trouble beating the younger cowboy.;F F F F F F T T T T T T T T
119;Its use was argued against, by Major Huglin, that it would only destroy our country and might not even work against the aliens.;F F F F F F F F F F F F F F F F F T T T T T T
120;Most of the time, however, the movie would start clicking and then some invisible hand would reach out and grab a lever and slow it down for no apparent reason.;F F F F F F F F F F F F F F F F F F F F F F F F F F T T T T
121;The goal in the movie is not in literally landing the Big Kahuna, but in finding out what bill of goods they sold themselves that made them be salesmen.;T T F F F T T T T T T T T F F F F F F F F F F F F F F F F
122;It's hard to believe that a film this weightless would waste so much time on setting up the premise, then never exploit the premise.;F F F F F F F F F F F F F F F F F F F T T T T T
123;He likes nothing better than showing off his crude behavior by obscene verbal jousting with his buddies.;F T T T T T T F F F F F F F F F F
124;This is not a sentimental film neither is it ever manipulative.;T T T T T T T T T T T
125;If only that look seemed less familiar, or more resonant.;F F F T T T T F F F
126;A sensible film-maker would have realized that the Webbers' life in the shelter was the set-up for the story, not the story itself.;F F F F F F F F F F F F F F F F F F F T T T T
127;Then again, maybe not...;F F T T
128;Although John Waters's PECKER never really comes together, it is entertaining.;F F F T T T T T F F F
129;Soon, however, Don Quixote comes into conflict not only with sheep and windmills, but with the modern world.;F T F F T T T T T T T T T F F F F F
130;Soon he discovers that there is always someone willing to cater to almost every sexual taste, and that there are people in the world capable of things he never imagined.;F F F F F F F F F F F F F F F F F F F F F F F F F F T T T T
131;His brother Terry (Malcolm Jamal- Warner, looking absolutely nothing like he did on TV) is with him.;F F F F F F T F T T T T T T F F F
132;Still, this picture's most obvious flaw has nothing to do with its sermonizing.;F F F F F T T T T T T T T
133;There is not a single decent acting job by any of the boys.;T T T T T T T T F F F F F
134;Others, like Billy Ansel (Bruce Greenwood), want nothing to do with Stephens.;F F F F F F T T T T T T
135;Alexis Loret, in his debut film role, gives an interesting performance of someone who is always out of place no matter where he is.;F F F F F F F F F F F F F F F F F F F T T T T T
136;The organization is making millions on it and not declaring taxes.;F F F F F F F F T T T
137;Whether this one is typical or not I cannot say, I am only reviewing this particular film and not the genre.;F F F F T T T T T T F F F F F F F F T T T
138;Malkovich has an over-the-top accent that is nothing short of hilarious.;F F F F F T T T T T T
139;I would not want my teenager to see it.;T T T T T T T T T
140;THE HOUSE OF YES is a black comedy not at all concerned about making its family feuds a touch surreal.;F F F F F F F F T T T T T T F F F F F F
141;Along the way, we get detours into a globe-spanning guilt-quest undertaken by Tristan, a scrap with bootlegging Irish gangsters and not one, not two, but _three_ funerals.;F F F F F F F F F F F F F F F F F F F F T T T T F F F
142;This hinted to the viewers that the film wasn't just some elaborate mystery and that they should not feel cheated if Rosebud turns out not to be very dramatic after all.;F F F F F F F F F F F F F F F F F T T T F F F F T T T T T F F
143;CRAZY PEOPLE was less than completely successful because it didn't have a shred of story to offer once you got past the admittedly hilarious snippets of truth in advertising.;F F F F F F F F F T T T T T T F F F F F F F F F F F F F F
144;We learn, for example, that most women of that era, with the exception of courtesans, were not able to read.;F F F F F F F F F F F F F F F T T T T T
145;When Blake, an actor, fires a gun twenty minutes into the show and splatters his bathroom with fake blood, the audience will be disappointed to learn that he is not dead.;F F F F F F F F F F F F F F F F F F F F F F F F F F F T T T T
146;The story is not especially original.;T T T T T T
147;There are times when CITY HALL sparkles, but rarely do these instances relate to Calhoun's investigation.;F F F F F F F F F F F F F F F F
148;"Smith refuses his offer with, ""I may be a gun for hire, but I'm not exactly an assassin.""";F F F F F F F F F F F F F T T T T T
149;There is no spark, no energy, no anything to RENAISSANCE MAN's laboriously staged set pieces but musical crying cues.;F F T T T T T T F F F F F F F F F F F
150;Ninety minutes stuck in a minivan with Tom Arnold, David Paymer, and five annoying kids is not my idea of a fun time at the movies.;F F F F F F F F F F F F F F F T T T T T T T T F F F
151;In a great twist, Dr. Butz readily admits that he personally has no health insurance because he doesn't want to be artificially kept alive like his patients.;F F F F F F F F F F F T T T T F T T T T T T T T T T T
152;He identifies so much with what the perp is thinking, that he can just look at him and know if he did the crime or not.;F F F F F F F F F F F F F F F F F F F T T T T T T T
153;"""I'm not dating the walking dead,"" she bitterly informs her mother, who replies, ""we better work fast.""";T T T T T T F F F F F F F F F F F
154;It is the scriptwriter's and the director's fault, not Arnold's.;F F F F F F F T T T
155;It is an unfortunate decision, if for no other reason than that it is unnecessary.;F F F F F F F T T T T T T T T
156;"Copyright 1997 James Berardinelli ""For me, the cinema is not a slice of life, but a piece of cake."" - Alfred Hitchcock";F F F F F F T T T T T T T T F F F F F F F F
157;The latest challenger for that murky throne is THE SHADOW, based on the radio character of the 1930's and 1940's ... well, not much of a challenger, actually.;F F F F F F F F F F F F F F F F F F F F F F T T T T T T
158;Such is not the case.;T T T T T
159;A significant predicament results from updating DIABOLIQUE, since certain key events demand a level of docility from Mia that is not typically found in a nineties American woman.;F F F F F F F F F F F F F F F F F F T T T T T T T T T T
160;Then, even more suddenly, Fred has been replaced in his prison cell by Pete Dayton (Balthazar Getty), a young mechanic with no memory of how he got there.;F F F F F F F F F F F F F F F F F F F F T T T T T T T T
161;On top of that, no one on board the ship has seen the beautiful woman with her husband.;F F F F T T T T T T T T T T T F F F
162;Cast somewhat against type, Ben Kingsley is a sleazy scientist with no concept of ethics but a great love of procedure.;F F F F F F F F F F F T T T T F F F F F F
163;If not for Bornedal's stylish approach to the material and a couple of effectively chilling sequences, NIGHTWATCH would have been a complete waste of time and effort.;T T T T T T F F F F F F F F F F F F F F F F F F F F F
164;For the most part, I'm not a big Keanu Reeves fan.;F F F F T T T T T T T
165;This is the first show I have seen him in where he did not steal the show.;F F F F F F F F F F T T T T T T T
166;"A science-fiction thriller can work, of course, without much profound commentary on the human condition; heaven knows THE MATRIX wasn't out to score philosophical brownie points.";F F F F F F F F F F F F F F F T T T T T T T T F F F
167;REVIEWED WRITTEN ON: March 31, 1995 Opinions expressed are solely mine & not meant to reflect my employer's.;F F F F F F F F F F F F T T T T T T
168;"I'm going to get it out of you whether you like it or not.""";F F F F F F F F T T T T T T
169;Death, something not really touched on in the last three animated Disney tales, is very much at the forefront of THE LION KING.;F T T T T T F T T T T T T F F F F F F F F F F
170;He is weird, slow-witted and obnoxious, but he does not have the same kind of depraved sexual relationship with Parker as Josh does.;F F F F F F F T T T T T T T T T T T F F F F F
171;There's no sacrifice she won't make, an attitude that her aging, impotent husband (Ge Zhijun) is incapable of understanding.;T T T T T T F F F F F F F F F F F F F
172;The acting is earnest, but monochromatic, and I did not find any of the characters believable.;F F F F F F F T T T T T T T T T
173;She spent her formative years living with her father (Philip Bosco) and stepmother (Jenny O'Hara), a woman whom she never liked.;F F F F F F F F F F F F F F F F T T T T T
174;I was surprised it did not get an R rating.;F F F T T T T T T T
175;Without thinking, she barks at her daughter, telling her not to eat a macaroon since David's lips have touched it.;F F F F F F F F F T T T T T T T T T T T
176;"Always polite but not one easy to say ""no"" to, he has answers for all occasions.";F F F T T T T T T T F F F F F F
177;To Roger, the immigrants are a less-than-human source of income, and that is a philosophy he attempts to pass on.;F F F F F F F F F F F F F F F F F F F F
178;THE BIRDCAGE, as it's called, is one of those rare motion pictures with side-splitting laughs where the humor never stays dormant for long.;F F F F F F F F F F F F F F F F F F T T T T T
179;"When Doug finds a planted clue he tells his partner, ""I know we're Valley detectives so we're not all that bright, but how stupid does he think we are?""";F F F F F F F F F F F F F F F F T T T T T F F F F F F F F
180;The horrific ending means that Brandon Teena deserves our sympathy, but it does not follow that the film dramatization based on her life's story is worthwhile.;F F F F F F F F F F F T T T T T T T T T T T T T T T
181;I rarely notice the songs, and when I do, it probably means I am getting bored, which I was.;T T T T T F F F F F F F F F F F F F F
182;And in one key scene, the yellow floppy he holds is assumed to be the right disk without checking it and is further assumed never to have been copied.;F F F F F F F F F F F F F F F F F F F F F F F T T T T T T
183;This excerpt appears on the trailer so I've seen the clip fours times now, and I still can ascertain no difference which, I suppose, is the point.;F F F F F F F F F F F F F F F F F T T T T T F F F F F
184;The storyline is a bit convoluted, but it never gets so confused that the primary themes become obscured.;F F F F F F F T T T T T F F F F F F
185;Of course, the corpse also gets viciously abused in every manner possible, without ever showing a scratch.;F F F F F F F F F F F F T T T T T
186;Different in this case does not necessarily mean inferior, instead THE LAND BEFORE TIME possesses a minimalist, but warm and natural beauty.;F F F F T T T T T F F F F F F F F F F F F F
187;DAYLIGHT is a POSEIDON ADVENTURE clone with a few effectively tense moments, but it is so plodding and mechanical that it is rarely entertaining.;F F F F F F F F F F F F F F F F F F F F T T T T
188;Plummer plays his usual bad guy, nothing special.;F F F F F F T T
189;"Copyright 1998 James Berardinelli ""My belief is that no movie, nothing in life, leaves people neutral.";F F F F F F F F T T T T T T T T
190;Sally and Gillian Owens, played charmingly by Sandra Bullock and Nicole Kidman, were trained as witches when they were young, but they've never been serious practitioners.;F F F F F F F F F F F F F F F F F F F F F T T T T T
191;"We no surrender.""";T T T
192;And he manages to find humor without ever resorting to cheap shots and to make the potentially repugnant absolutely riveting.;F F F F F F T T T T T T F F F F F F F F
193;JUDY BERLIN manages to hit some effective comic notes while always staying true to the small, very personal desires of even its peripheral characters.;F F F F F F F F F F F F F F F F F F F F F F F F
194;The movie was basically sort of a Blue Velvet-lite in feel but without its violence.;F F F F F F F F F F F F T T T
195;He has never fired a shot at anyone, and is now desperately afraid that he will be killed before he ever gets a chance to experience life.;T T T T T T T T F F F F F F F F F F F F F F F F F F F
196;The only one who knew the secret, was the old peasant woman, Alte Nane (Julia), who never told anyone else.;F F F F F F F F F F F F F F F T T T T T
197;Mrs. Pascal is the sort that will not let Jackie-O keep a hairbrush downstairs since food is kept on that level.;F F F F F F T T T T T T T F F F F F F F F
198;Hollywood rarely does this sort of hard-hitting story as well as independent productions, and this is a case-in-point.;T T T T T T T T F F F F F F F F F F
199;My son Jeffrey, age 8, said he thought the movie was good and really funny, but recommends you not choose it if you want an action movie.;F F F F F F F F F F F F F F F F F F T T T T T T T T T
200;The amateur poet in Urdu is more than pleased to do so, though he does not feel secure that he is up to the task.;F F F F F F F F F F F F F T T T T T F F F F F F F
201;The movie argues convincingly that we do not have to accept this conventional wisdom.;F F F F F T T T T T T T T T
202;For her part, she wants nothing to do with him.;F F F T T T T T T T
203;In QUIZ SHOW he plays a sweet, lovable guy who manages to sign a pact with the devil and yet not seem to realize what he has done.;F F F F F F F F F F F F F F F F F F F F T T T T T T T T
204;The easygoing tone dissipates, and is replaced by something far less comfortable.;F F F F F F F F F T T T
205;There's nothing horrible about MONEY FOR NOTHING.;T T T T T T T
206;Where I felt M. BUTTERFLY was less successful was in portraying the complexities of Gallimard's character.;F F F F F F F F F F F F F F F F
207;The supporting cast includes a number of familiar faces, but, other than Glenn Close, no one has much to do.;F F F F F F F F F F F F F F T T T T T T
208;Despite paying lip service to high ideals, Schlesinger's movie has no moral compass, and is only interested in delivering cheap thrills.;F F F F F F F F T T T T T F F F F F F F F
209;The situations beg to have the absurdity level turned up just a notch;F F F F F F F F F F F F F
210;This fall, no fewer than three new releases -- THE ICE STORM, THE MYTH OF FINGERPRINTS and THE HOUSE OF YES -- are turning Turkey Day into Dysfunction Junction.;F F T T T T F T F F F F F F F F F F F F F F F F F F F F F
211;Unfortunately, no one else cares.;F T T T T
212;ONLY YOU is entertaining without being exceptionally accomplished.;F F F F T T T T
213;Actually, with much tighter editing, say an hour less movie and even if they left in all of the gore, I could recommend this movie to adult audiences with strong stomachs.;F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F
214;It does it in such fresh ways, that you do not mind you have seen this setup a hundred times before.;F F F F F F F F T T T T F F F F F F F F F
215;"He is not really a good fellow away from his mistress, the guitar; he is much too self-absorbed to care a lick about someone else.";F T T T T T T F F F F F F F F F F F F F F F F F F
216;Anything less than complete praise will be derided by their fans.;F T T T F F F F F F F
217;If it was too much for you, then you do not want to see THE CELL.;F F F F F F F F F T T T T T T T
218;"His son, missing his grieving dad, tells his mom, ""I don't want to see Dad sad, mom, but I'd rather see him sad than not see him at all.""";F F F F F F F F F T T T T T T T F F F F F F F F T T T T T
219;(For example, one question that is never answered is whether Truman actually has sex with his actress-wife.);F F F F F T T T F F F F F F F F F
220;It does not currently have a United States release date.;T T T T T F F F F F
221;Some of its best humor makes no sense whatsoever if you apply logic, but it sure is funny.;F F F F F T T T T F F F F F F F F F
222;He, for example, puts a dollop of hot mustard on her plate without asking permission.;F F F F F F F F F F F F T T T
223;CRIMSON TIDE is no exception -- the atmosphere alone is sufficient to keep the audience on edge.;T T T T T F F F F F F F F F F F F
224;The action sequences recall MISSION IMPOSSIBLE, ERASER, and THE ROCK, albeit with less energy.;F F F F F F F F F F F F F F
225;Just not this bad.;T T T T
226;"Billy, however, is wary, telling us that ""I witnessed enough of my brother's social agony early on to know that I would never let the Abbotts matter to me.""";F F F F F F F F F F F F F F F F F F F F T T T T T T T T T
227;If there's one noteworthy hole in CAN'T HARDLY WAIT, it's the central plot of Preston's pursuit of Amanda.;F F F F F F F F F F F F F F F F F F
228;Afterall, not many moviegoers go to the entertainment section looking for a good cockroach film.);F T T T F F F F F F F F F F F
229;There's enough going on in that slightly radioactive nuclear famliy to fill a feature film without bringing in Crazy Cousin Rita.;F F F F F F F F F F F F F F F T T T T T T
230;The film was also popular enough to spawn a sequel, catchily titled GREASE 2, but the less said about that sad endeavor, the better.;F F F F F F F F F F F F F F F F F F F F F F F F
